Circuit: * C:\Users\bradb\Desktop\LTSPICE-PELMS\LT spice model hv9910c v3 - nabradb.asc

Limiting rise time of source v1 to 5e-010
Limiting fall time of source v1 to 5e-010
Direct Newton iteration for .op point succeeded.
Heightened Def Con from 6.31941e-006 ++++++++++++++++++++++++++to 6.32241e-006
Heightened Def Con from 1.03757e-005 ++++++++++++++++++++++++++to 1.03787e-005
Heightened Def Con from 2.05749e-005 ++++++++++++++++++++++++++to 2.05779e-005
Heightened Def Con from 3.0763e-005 ++++++++++++++++++++++++++to 3.0766e-005
Heightened Def Con from 4.08263e-005 to 4.08263e-005
Heightened Def Con from 4.08263e-005 ++++++++++++++++++++++++++to 4.08293e-005
Heightened Def Con from 5.08451e-005 ++++++++++++++++++++++++++to 5.08481e-005
Heightened Def Con from 6.08497e-005 ++++++++++++++++++++++++++to 6.08527e-005
Heightened Def Con from 7.08507e-005 +++to 7.08507e-005
Heightened Def Con from 7.08507e-005 ++++++++++++++++++++++++++to 7.08537e-005
Heightened Def Con from 8.08515e-005 to 8.08515e-005
Heightened Def Con from 8.08515e-005 to 8.08515e-005
Heightened Def Con from 8.08515e-005 ++++++++++++++++++++++++++to 8.08545e-005
Heightened Def Con from 9.08507e-005 ++++++++++++++++++++++++++to 9.08537e-005
Heightened Def Con from 0.000100851 ++++++++++++++++++++++++++to 0.000100854
Heightened Def Con from 0.000110851 ++++++++++++++++++++++++++to 0.000110854
Heightened Def Con from 0.000120851 to 0.000120851
Heightened Def Con from 0.000120851 ++++++++++++++++++++++++++to 0.000120854
Heightened Def Con from 0.000130851 ++++++++++++++++++++++++++to 0.000130854
Heightened Def Con from 0.000140851 ++++++++++++++++++++++++++to 0.000140854
Heightened Def Con from 0.000150851 ++++++++++++++++++++++++++to 0.000150854
Heightened Def Con from 0.000160851 ++++++++++++++++++++++++++to 0.000160854
Heightened Def Con from 0.00017085 to 0.00017085
Heightened Def Con from 0.00017085 to 0.00017085
Heightened Def Con from 0.00017085 to 0.00017085
Heightened Def Con from 0.00017085 ++++++++++++++++++++++++++to 0.000170853
Heightened Def Con from 0.000180851 ++++++++++++++++++++++++++to 0.000180854
Heightened Def Con from 0.000190851 to 0.000190851
Heightened Def Con from 0.000190851 to 0.000190851
Heightened Def Con from 0.000190851 ++++++++++++++++++++++++++to 0.000190854
Heightened Def Con from 0.000200851 ++++++++++++++++++++++++++to 0.000200854
Heightened Def Con from 0.000210851 ++++++++++++++++++++++++++to 0.000210854
Heightened Def Con from 0.000220851 ++++++++++++++++++++++++++to 0.000220854
Heightened Def Con from 0.000230851 ++++++++++++++++++++++++++to 0.000230854
Heightened Def Con from 0.000240851 to 0.000240851
Heightened Def Con from 0.000240851 ++++++++++++++++++++++++++to 0.000240854
Heightened Def Con from 0.000250851 ++++++++++++++++++++++++++to 0.000250854
Heightened Def Con from 0.000260851 ++++++++++++++++++++++++++to 0.000260854
Heightened Def Con from 0.000270851 ++++++++++++++++++++++++++to 0.000270854
Heightened Def Con from 0.000280851 ++++++++++++++++++++++++++to 0.000280854
Heightened Def Con from 0.000290851 ++++++++++++++++++++++++++to 0.000290854
Heightened Def Con from 0.000300851 to 0.000300851
Heightened Def Con from 0.000300851 ++++++++++++++++++++++++++to 0.000300854
Heightened Def Con from 0.000310851 ++++++++++++++++++++++++++to 0.000310854
Heightened Def Con from 0.000320852 ++++++++++++++++++++++++++to 0.000320855
Heightened Def Con from 0.000330851 ++++++++++++++++++++++++++to 0.000330854
Heightened Def Con from 0.000340852 ++++++++++++++++++++++++++to 0.000340855
Heightened Def Con from 0.000350851 ++++++++++++++++++++++++++to 0.000350854
Heightened Def Con from 0.000360851 ++++++++++++++++++++++++++to 0.000360854
Heightened Def Con from 0.000370852 ++++++++++++++++++++++++++to 0.000370855
Heightened Def Con from 0.000380851 to 0.000380851
Heightened Def Con from 0.000380851 ++++++++++++++++++++++++++to 0.000380854
Heightened Def Con from 0.000390851 to 0.000390851
Heightened Def Con from 0.000390851 to 0.000390851
Heightened Def Con from 0.000390851 to 0.000390851
Heightened Def Con from 0.000390851 ++++++++++++++++++++++++++to 0.000390854
Heightened Def Con from 0.000400851 +to 0.000400851
Heightened Def Con from 0.000400851 ++++++++++++++++++++++++++to 0.000400854
Heightened Def Con from 0.000410852 ++++++++++++++++++++++++++to 0.000410855
Heightened Def Con from 0.000420851 +to 0.000420851
Heightened Def Con from 0.000420851 ++++++++++++++++++++++++++to 0.000420854
Heightened Def Con from 0.000430851 ++++++++++++++++++++++++++to 0.000430854
Heightened Def Con from 0.000440851 to 0.000440851
Heightened Def Con from 0.000440851 to 0.000440851
Heightened Def Con from 0.000440851 ++++++++++++++++++++++++++to 0.000440854
Heightened Def Con from 0.000450851 to 0.000450851
Heightened Def Con from 0.000450851 ++++++++++++++++++++++++++to 0.000450854
Heightened Def Con from 0.000460851 ++++++++++++++++++++++++++to 0.000460854
Heightened Def Con from 0.000470851 ++++++++++++++++++++++++++to 0.000470854
Heightened Def Con from 0.000480851 ++++++++++++++++++++++++++to 0.000480854
Heightened Def Con from 0.000490851 ++++++++++++++++++++++++++to 0.000490854
Heightened Def Con from 0.000500852 ++++++++++++++++++++++++++to 0.000500855
Heightened Def Con from 0.000510851 ++++++++++++++++++++++++++to 0.000510854
Heightened Def Con from 0.000520851 ++++++++++++++++++++++++++to 0.000520854
Heightened Def Con from 0.000530852 ++++++++++++++++++++++++++to 0.000530855
Heightened Def Con from 0.000540851 to 0.000540851
Heightened Def Con from 0.000540851 ++++++++++++++++++++++++++to 0.000540854
